Project_ID,Project_Name,Start_Date,Expected_End_Date,Actual_End_Date,Budget,Spent_Amount,Duration,Current_Phase,Team_Size,Weather_Factor,Change_Orders,Supplier_Reliability,Permits_Issued,Risk_Level,Stakeholder_Engagement,Compliance_Issues,Completion_Status
1,Project A,2024-01-13,2024-12-06,,906643,385269,156,Planning,17,7,2,6,2,7,4,0,1
2,Project B,2024-01-18,2024-10-12,,1222355,217720,379,Planning,6,1,4,1,2,1,9,1,1
3,Project C,2024-01-24,2024-07-24,,1127462,15757,202,Construction,12,2,2,10,6,5,2,1,1
4,Project D,2024-01-29,2024-10-26,,1061680,255789,274,Construction,13,6,2,8,8,1,9,0,1
5,Project E,2024-01-04,2024-09-25,,1468759,282275,193,Construction,15,10,2,8,8,9,3,1,1
6,Project F,2024-01-23,2024-09-26,,1071235,342439,308,Planning,19,4,0,8,0,5,10,2,0
7,Project G,2024-01-13,2024-09-27,,1353323,337531,376,Inspection,8,6,0,4,7,4,9,1,1
8,Project H,2024-01-05,2024-11-05,,1100668,199711,262,Inspection,8,1,0,10,7,4,8,2,1
9,Project I,2024-01-25,2024-11-11,,792766,207241,209,Inspection,16,9,0,8,5,3,1,0,0
10,Project J,2024-01-14,2024-07-11,,1084571,458854,232,Construction,14,5,2,10,4,1,3,2,0
11,Project K,2024-01-14,2024-12-02,,1123318,313006,198,Inspection,14,9,3,8,5,7,2,1,1
12,Project L,2024-01-07,2024-07-13,,1471953,276042,177,Construction,17,6,1,1,7,10,2,2,0
13,Project M,2024-01-02,2024-12-22,,1488989,193997,183,Planning,3,4,0,9,5,6,5,2,1
14,Project N,2024-01-05,2024-12-21,,1178476,201025,181,Inspection,11,6,4,5,8,5,6,1,0
15,Project O,2024-01-07,2024-06-30,,647807,426028,393,Planning,4,6,3,7,0,9,3,2,1
16,Project P,2024-01-27,2024-12-02,,797941,299131,385,Construction,7,9,1,5,7,4,5,0,1
17,Project Q,2024-01-03,2024-10-21,,639056,72829,183,Inspection,2,2,3,2,9,8,4,0,1
18,Project R,2024-01-24,2024-08-05,,1469384,281564,172,Inspection,6,10,1,3,6,10,4,2,0
19,Project S,2024-01-19,2024-10-25,,1433570,254425,153,Construction,1,2,2,3,5,3,1,2,1
20,Project T,2024-01-12,2024-12-24,,630421,57350,241,Inspection,7,4,1,8,3,4,1,0,1
21,Project U,2024-01-03,2024-08-21,,1075431,41367,228,Planning,12,8,2,1,8,7,8,1,0
